SCHOOL_YEAR,AGENCY_TYPE,CHARTER_IND,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,DISTRICT_NAME,SCHOOL_NAME,COHORT,COMPLETION_STATUS,GROUP_BY,GROUP_BY_VALUE,TIMEFRAME,COHORT_COUNT,STUDENT_COUNT,grad_rate
2018-19,Public school,No,10.0,Rusk,735,40.0,High School,Bruce,Bruce High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,31,28,0.9032258064516129
2018-19,Public school,No,2.0,Racine,777,20.0,High School,Burlington Area,Burlington High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,273,255,0.9340659340659341
2018-19,Public school,No,10.0,Chippewa,870,40.0,High School,Cadott Community,Cadott High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,62,54,0.8709677419354839
2018-19,Public school,No,2.0,Dane,896,40.0,High School,Cambridge,Cambridge High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,71,69,0.971830985915493
2018-19,Public school,No,11.0,Barron,903,40.0,High School,Cameron,Cameron High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,57,51,0.8947368421052632
2018-19,Public school,No,6.0,Fond du Lac,910,40.0,High School,Campbellsport,Campbellsport High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,110,104,0.9454545454545454
2018-19,Public school,No,4.0,Monroe,980,40.0,High School,Cashton,Cashton Middle/High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,28,27,0.9642857142857143
2018-19,Public school,No,7.0,Sheboygan,1029,40.0,High School,Cedar Grove-Belgium Area,Cedar Grove-Belgium High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,86,84,0.9767441860465116
2018-19,Public school,No,1.0,Ozaukee,1015,20.0,High School,Cedarburg,Cedarburg High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,272,265,0.9742647058823529
2018-19,Public school,No,2.0,Kenosha,5054,20.0,High School,Central/Westosha UHS,Central High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,290,271,0.9344827586206896
2018-19,Public school,No,12.0,Price,1071,400.0,High School,Chequamegon,Chequamegon High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,37,35,0.9459459459459459
2018-19,Public school,No,11.0,Barron,1080,400.0,High School,Chetek-Weyerhaeuser Area,Chetek-Weyerhaeuser High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,51,51,1.0
2018-19,Public school,No,7.0,Calumet,1085,40.0,High School,Chilton,Chilton High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,104,100,0.9615384615384616
2018-19,Public school,No,10.0,Chippewa,1092,60.0,High School,Chippewa Falls Area Unified,Chippewa Falls High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,397,367,0.924433249370277
2018-19,Public school,No,11.0,Polk,1120,40.0,High School,Clayton,Clayton High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,30,28,0.9333333333333333
2018-19,Public school,No,11.0,Polk,1127,40.0,High School,Clear Lake,Clear Lake High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,41,39,0.9512195121951219
2018-19,Public school,No,2.0,Rock,1134,60.0,High School,Clinton Community,Clinton High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,89,87,0.9775280898876404
2018-19,Public school,No,8.0,Waupaca,1141,40.0,High School,Clintonville,Clintonville High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,137,115,0.8394160583941606
2018-19,Public school,No,4.0,Buffalo,1155,40.0,High School,Cochrane-Fountain City,Cochrane-Fountain City High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,58,56,0.9655172413793104
2018-19,Public school,No,10.0,Clark,1162,40.0,High School,Colby,Colby High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,60,56,0.9333333333333333
2018-19,Public school,No,8.0,Marinette,1169,60.0,High School,Coleman,Coleman High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,56,56,1.0
2018-19,Public school,No,11.0,Dunn,1176,40.0,High School,Colfax,Colfax High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,68,66,0.9705882352941176
2018-19,Public school,No,5.0,Columbia,1183,40.0,High School,Columbus,Columbus High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,78,72,0.9230769230769231
2018-19,Public school,No,8.0,Forest,1218,60.0,High School,Crandon,Crandon High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,49,43,0.8775510204081632
2018-19,Public school,No,8.0,Marinette,1232,40.0,High School,Crivitz,Crivitz High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,43,38,0.8837209302325582
2018-19,Public school,No,3.0,Grant,1246,40.0,High School,Cuba City,Cuba City High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,65,63,0.9692307692307692
2018-19,Public school,No,1.0,Milwaukee,1253,40.0,High School,Cudahy,Cudahy High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,172,157,0.9127906976744186
2018-19,Public school,No,11.0,Barron,1260,60.0,High School,Cumberland,Cumberland High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,64,61,0.953125
2018-19,Public school,No,9.0,Marathon,4970,35.0,High School,D C Everest Area,D C Everest High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,412,403,0.9781553398058253
