SCHOOL_YEAR_x,AGENCY_TYPE,CHARTER_IND,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,DISTRICT_NAME,HIGH_SCHOOL_NAME,COHORT,COMPLETION_STATUS,GROUP_BY,GROUP_BY_VALUE,TIMEFRAME,COHORT_COUNT,STUDENT_COUNT,MIDDLE_SCHOOL_NAME,SCHOOL_YEAR_y,TEST_SUBJECT,Composite_Score,FORWARD_YEAR,EXPECTED_COHORT
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwD,4-Year rate,34,21,Lincoln Middle,2015-16,Social Studies,2.625,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwD,4-Year rate,34,21,Logan Middle,2015-16,ELA,1.6666666666666667,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwD,4-Year rate,34,21,Logan Middle,2015-16,Mathematics,1.3333333333333333,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwD,4-Year rate,34,21,Logan Middle,2015-16,Science,2.0,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwD,4-Year rate,34,21,Logan Middle,2015-16,Social Studies,2.1666666666666665,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwD,4-Year rate,34,21,Longfellow Middle,2015-16,ELA,1.4545454545454546,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwD,4-Year rate,34,21,Longfellow Middle,2015-16,Mathematics,1.2727272727272727,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwD,4-Year rate,34,21,Longfellow Middle,2015-16,Science,1.7272727272727273,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwD,4-Year rate,34,21,Longfellow Middle,2015-16,Social Studies,1.9545454545454546,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,Lincoln Middle,2015-16,ELA,2.4054054054054053,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,Lincoln Middle,2015-16,Mathematics,2.2972972972972974,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,Lincoln Middle,2015-16,Science,2.7027027027027026,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,Lincoln Middle,2015-16,Social Studies,2.918918918918919,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,Logan Middle,2015-16,ELA,2.323232323232323,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,Logan Middle,2015-16,Mathematics,1.9494949494949494,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,Logan Middle,2015-16,Science,2.4646464646464645,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,Logan Middle,2015-16,Social Studies,2.696969696969697,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,Longfellow Middle,2015-16,ELA,2.0072992700729926,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,Longfellow Middle,2015-16,Mathematics,2.1094890510948905,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,Longfellow Middle,2015-16,Science,2.4306569343065694,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,Longfellow Middle,2015-16,Social Studies,2.5942028985507246,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,School of Technology and Arts II,2015-16,ELA,2.2222222222222223,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,School of Technology and Arts II,2015-16,Mathematics,2.111111111111111,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,School of Technology and Arts II,2015-16,Science,2.5555555555555554,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,213,196,School of Technology and Arts II,2015-16,Social Studies,2.6666666666666665,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,La Crosse Design Institute,2015-16,ELA,2.0,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,La Crosse Design Institute,2015-16,Mathematics,1.5,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,La Crosse Design Institute,2015-16,Science,2.1666666666666665,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,La Crosse Design Institute,2015-16,Social Studies,1.5,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,Lincoln Middle,2015-16,ELA,1.911764705882353,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,Lincoln Middle,2015-16,Mathematics,1.7647058823529411,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,Lincoln Middle,2015-16,Science,2.2941176470588234,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,Lincoln Middle,2015-16,Social Studies,2.3529411764705883,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,Logan Middle,2015-16,ELA,2.015625,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,Logan Middle,2015-16,Mathematics,1.65625,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,Logan Middle,2015-16,Science,2.203125,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,Logan Middle,2015-16,Social Studies,2.375,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,Longfellow Middle,2015-16,ELA,1.6417910447761195,2016.0,2020.0
